uti,platform,original_id
chr,ethereum,0x8a2279d4a90b6fe1c4b30fa660cc9f926797baa2
chz,,chz
chz,ethereum,0x3506424f91fd33084466f402d5d97f05f8e3b4af
city,,city
ckb,,ckb
cloak,,cloak
clv,,clv
clv,bsc,0x09e889bb4d5b474f561db0491c38702f367a4e4d
clv,ethereum,0x80c62fe4487e1351b47ba49809ebd60ed085bf52
cmt,,cmt
cmt,ethereum,0xf85feea2fdd81d51177f6b8f35f0e6734ce45f5f
cnd,,cnd
cnd,ethereum,0xd4c435f5b09f855c3317c8524cb1f586e42795fa
cocos,,cocos
cocos,ethereum,0xc4c7ea4fab34bd9fb9a5e1b1a98df76e26e6407c
comp,,comp
comp,bsc,0x52ce071bd9b1c4b00a0b92d298c512478cad67e8
comp,ethereum,0xc00e94cb662c3520282e6f5717214004a7f26888
comp,polygon,0x8505b9d2254a7ae468c0e9dd10ccea3a837aef5c
cos,,cos
coti,,coti
coti,bsc,0xadbaf88b39d37dc68775ed1541f1bf83a5a45feb
coti,ethereum,0xddb3422497e61e13543bea06989c0789117555c5
cover,,cover
cover,ethereum,0x4688a8b1f292fdab17e9a90c8bc379dc1dbd8713
cre,cosmos,ibc/3F18D520CE791A40357D061FAD657CED6B21D023F229EAF131D7FE7CE6F488BD
cream,,cream
cream,bsc,0xd4cb328a82bdf5f03eb737f37fa6b370aef3e888
cream,ethereum,0x2ba592f78db6436527729929aaf6c908497cb200
cro,cosmos,ibc/C932ADFE2B4216397A4F17458B6E4468499B86C3BC8116180F85D799D6F5CC1B
cro,cro,cro
cro,osmosis,ibc/E6931F78057F7CC5DA0FD6CEF82FF39373A6E0452BF1FD76910B93292CF356C1
crv,,crv
crv,ethereum,0xd533a949740bb3306d119cc777fa900ba034cd52
crv,polygon,0x172370d5cd63279efa6d502dab29171933a610af
ctk,,ctk
ctk,bsc,0xa8c2b8eec3d368c0253ad3dae65a5f2bbb89c929
ctsi,,ctsi
ctsi,bsc,0x8da443f84fea710266c8eb6bc34b71702d033ef2
ctsi,ethereum,0x491604c0fdf08347dd1fa4ee062a822a5dd06b5d
ctsi,polygon,0x2727ab1c2d22170abc9b595177b2d5c6e1ab7b7b
ctxc,,ctxc
cvc,,cvc
cvc,ethereum,0x41e5560054824ea6b0732e656e3ad64e20e94e45
cvp,,cvp
cvp,ethereum,0x38e4adb44ef08f22f5b5b76a8f0c2d0dcbe7dca1
cvx,,cvx
cvx,ethereum,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b
dai,,dai
dai,bsc,0x1af3f329e8be154074d8769d1ffa4ee058b1dbc3
dai,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f
dai,polygon,0x8f3cf7ad23cd3cadbd9735aff958023239c6a063
dar,,dar
dar,bsc,0x23ce9e926048273ef83be0a3a8ba9cb6d45cd978
dar,ethereum,0x081131434f93063751813c619ecca9c4dc7862a3
dash,,dash
data,ethereum,0x8f693ca8d21b157107184d29d398a8d082b38b76
dcr,,dcr
dego,,dego
dego,ethereum,0x3da932456d082cba208feb0b096d49b202bf89c8
dent,,dent
dent,ethereum,0x3597bfd533a99c9aa083587b074434e61eb0a258
dexe,,dexe
dexe,bsc,0x039cb485212f996a9dbb85a9a75d898f94d38da6
dexe,ethereum,0xde4ee8057785a7e8e800db58f9784845a5c2cbd6
df,,df
df,bsc,0x4a9a2b2b04549c3927dd2c9668a5ef3fca473623
df,ethereum,0x431ad2ff6a9c365805ebad47ee021148d6f7dbe0
df,polygon,0x08c15fa26e519a78a666d19ce5c646d55047e0a3
dgb,,dgb
dgd,,dgd
dgd,ethereum,0xe0b7927c4af23765cb51314a0e0521a9645f0e2a
dia,,dia
dia,bsc,0x99956d38059cf7beda96ec91aa7bb2477e0901dd
dia,ethereum,0x84ca8bc7997272c7cfb4d0cd3d55cd942b3c9419
dnt,,dnt
dnt,ethereum,0x0abdace70d3790235af448c88547603b945604ea
dock,,dock
dodo,,dodo
dodo,bsc,0x67ee3cb086f8a16f34bee3ca72fad36f7db929e2
dodo,ethereum,0x43dfc4159d86f3a37a5a4b3d4580b888ad7d4ddd
dodo,polygon,0xe4bf2864ebec7b7fdf6eeca9bacae7cdfdaffe78
doge,,doge
doge,bsc,0xba2ae424d960c26247dd6c32edc70b295c744c43
dot,,dot
dot,bsc,0x7083609fce4d1d8dc0c979aab8c869ea2c873402
drep,,drep
drep,ethereum,0x3ab6ed69ef663bd986ee59205ccad8a20f98b4c2
dusk,,dusk
dusk,bsc,0xb2bd0749dbe21f623d9baba856d3b0f0e1bfec9c
dusk,ethereum,0x940a2db1b7008b6c776d4faaca729d6d4a4aa551
dvpn,cosmos,ibc/42E47A5BA708EBE6E0C227006254F2784E209F4DBD3C6BB77EDC4B29EF875E8E
dvpn,osmosis,ibc/9712DBB13B9631EDFA9BF61B55F1B2D290B2ADB67E3A4EB3A875F3B6081B3B84
dvpn,sentinel,dvpn
dydx,,dydx
dydx,ethereum,0x92d6c1e31e14520e676a687f0a93788b716beff5
egld,,egld
egld,bsc,0xbf7c81fff98bbe61b40ed186e4afd6ddd01337fe
elf,,elf
elf,bsc,0xa3f020a5c92e15be13caf0ee5c95cf79585eecc9
elf,ethereum,0xbf2179859fc6d5bee9bf9158632dc51678a4100e
eng,,eng
eng,ethereum,0xf0ee6b27b759c9893ce4f094b49ad28fd15a23e4
enj,enjin,enj
ens,,ens
ens,ethereum,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72
eos,,eos
eos,bsc,0x56b6fb708fc5732dec1afc8d8556423a2edccbd6
eps,,eps
eps,bsc,0xa7f552078dcc247c2684336020c03648500c6d9f
epx,,epx
ern,,ern
ern,ethereum,0xbbc2ae13b23d715c30720f079fcd9b4a74093505
etc,,etc
etc,bsc,0x3d6545b08693dae087e957cb1180ee38b9e3c25e
eth,bsc,0x2170Ed0880ac9A755fd29B2688956BD959F933F8
eth,ethereum,eth
farm,,farm
farm,bsc,0x4b5c23cac08a567ecf0c1ffca8372a45a5d33743
farm,ethereum,0xa0246c9032bc3a600820415ae600c6388619a14d
fet,,fet
fet,bsc,0x031b41e504677879370e9dbcf937283a8691fa7f
fet,ethereum,0xaea46a60368a7bd060eec7df8cba43b7ef41ad85
fida,,fida
fil,,fil
fil,bsc,0x0d8ce2a99bb6e3b7db580ed848240e4a0f9ae153
fio,,fio
firo,,firo
firo,bsc,0xd5d0322b6bab6a762c79f8c81a0b674778e13aed
fis,,fis
fis,ethereum,0xef3a930e1ffffacd2fc13434ac81bd278b0ecc8d
flm,,flm
flow,,flow
flow,ethereum,0x5c147e74d63b1d31aa3fd78eb229b65161983b2b
flux,,flux
flux,bsc,0xaFF9084f2374585879e8B434C399E29E80ccE635
for,,for
for,bsc,0x658a109c5900bc6d2357c87549b651670e5b0539
for,ethereum,0x1fcdce58959f536621d76f5b7ffb955baa5a672f
forth,,forth
forth,ethereum,0x77fba179c79de5b7653f68b5039af940ada60ce0
front,,front
front,bsc,0x928e55dab735aa8260af3cedada18b5f70c72f1b
front,ethereum,0xf8c3527cc04340b208c854e985240c02f7b7793f
front,polygon,0xa3ed22eee92a3872709823a6970069e12a4540eb
ftm,,ftm
ftm,bsc,0xad29abb318791d579433d831ed122afeaf29dcfe
ftm,ethereum,0x4e15361fd6b4bb609fa63c81a2be19d873717870
ftt,,ftt
ftt,ethereum,0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9
fuel,,fuel
fuel,bsc,0x2090c8295769791ab7a3cf1cc6e0aa19f35e441a
fun,,fun
fun,ethereum,0x419d0d8bdd9af5e606ae2232ed285aff190e711b
fxs,,fxs
fxs,bsc,0xe48a3d7d0bc88d552f730b62c006bc925eadb9ee
fxs,ethereum,0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0
fxs,polygon,0x1a3acf6d19267e2d3e7f898f42803e90c9219062
gal,,gal
gal,bsc,0xe4cc45bb5dbda06db6183e8bf016569f40497aa5
gal,ethereum,0x5faa989af96af85384b8a938c2ede4a7378d9875
gala,,gala
gala,bsc,0x7ddee176f665cd201f93eede625770e2fd911990
gala,ethereum,0x15d4c048f83bd7e37d49ea4c83a07267ec4203da
gas,,gas
ghst,,ghst
ghst,ethereum,0x3f382dbd960e3a9bbceae22651e88158d2791550
ghst,polygon,0x385eeac5cb85a38a9a07a70c73e0a3271cfb54a7
glm,,glm
glm,ethereum,0x7dd9c5cba05e151c895fde1cf355c9a1d5da6429
glm,polygon,0x0b220b82f3ea3b7f6d9a1d8ab58930c064a2b5bf
glmr,,glmr
gmt,,gmt
gmt,bsc,0x3019bf2a2ef8040c242c9a4c5c4bd4c81678b2a1
gmt,ethereum,0xe3c408bd53c31c085a1746af401a4042954ff740
gno,,gno
gno,ethereum,0x6810e776880c02933d47db1b9fc05908e5386b96
go,,go
grs,,grs
grt,,grt
grt,ethereum,0xc944e90c64b2c07662a292be6244bdf05cda44a7
grt,polygon,0x5fe2b58c013d7601147dcdd68c143a77499f5531
gtc,,gtc
gtc,ethereum,0xde30da39c46104798bb5aa3fe8b9e0e1f348163f
gto,,gto
gto,ethereum,0xc5bbae50781be1669306b9e001eff57a2957b09d
hard,kava,hard
hbar,,hbar
hc,,hc
hegic,,hegic
hegic,ethereum,0x584bc13c7d411c00c01a62e8019472de68768430
high,,high
high,bsc,0x5f4bde007dc06b867f86ebfe4802e34a1ffeed63
high,ethereum,0x71ab77b7dbb4fa7e017bc15090b2163221420282
hive,,hive
hnt,,hnt
hot,,hot
hot,ethereum,0x6c6ee5e31d828de241282b9606c8e98ea48526e2
icp,,icp
icx,,icx
idex,,idex
idex,ethereum,0xb705268213d593b8fd88d3fdeff93aff5cbdcfae
ilv,,ilv
ilv,ethereum,0x767fe9edc9e0df98e07454847909b5e959d7ca0e
imx,,imx
imx,ethereum,0xf57e7e7c23978c3caec3c3548e3d615c346e79ff
inj,,inj
inj,bsc,0xa2b726b1145a4773f68593cf171187d8ebe4d495
inj,cosmos,ibc/6469BDA6F62C4F4B8F76629FA1E72A02A3D1DD9E2B22DDB3C3B2296DEAD29AB8
inj,ethereum,0xe28b3b32b6c345a34ff64674606124dd5aceca30
ion,cosmos,ibc/5BB694D466CCF099EF73F165F88472AF51D9C4991EAA42BD1168C5304712CC0D
iost,,iost
iota,,iota
iotx,,iotx
iotx,bsc,0x9678e42cebeb63f23197d726b29b1cb20d0064e5
iotx,ethereum,0x6fb3e0a217407efff7ca062d46c26e5d60a14d69
iov,cosmos,ibc/68A333688E5B07451F95555F8FE510E43EF9D3D44DF0909964F92081EF9BE5A7
iq,,iq
iq,bsc,0x0e37d70b51ffa2b98b4d34a5712c5291115464e3
iq,ethereum,0x579cea1889991f68acc35ff5c3dd0621ff29b0c9
iq,polygon,0xb9638272ad6998708de56bbc0a290a1de534a578
iris,cosmos,ibc/12DA42304EE1CE96071F712AA4D58186AD11C3165C0DCDA71E017A54F3935E66
iris,iris,iris
iris,osmosis,ibc/7C4D60AA95E5A7558B0A364860979CA34B7FF8AAF255B87AF9E879374470CEC0
ixo,cosmos,ibc/B2B5AEE174062FA7804AC95223D8169852F8F58962C51C66391C272C838258B7
jasmy,,jasmy
jasmy,ethereum,0x7420b4b9a0110cdc71fb720908340c03f9bc03ec
joe,,joe
jpy,boj,jpy
jst,,jst
juno,cosmos,ibc/CDAB23DA5495290063363BD1C3499E26189036302DC689985A7E23F8DF8D8DB0
juno,juno,juno
juno,osmosis,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED
juv,,juv
kava,cosmos,ibc/8870C4203CEBF2279BA065E3DE95FC3F8E05A4A93424E7DC707A21514BE353A0
kava,kava,kava
kda,,kda
keep,,keep
keep,ethereum,0x85eee30c52b0b379b046fb0f85f4f3dc3009afec
key,,key
key,ethereum,0x4cc19356f2d37338b9802aa8e8fc58b0373296e7
klay,,klay
kmd,,kmd
kmd,bsc,0x2003f7ba57ea956b05b85c60b4b2ceea9b111256
knc,,knc
knc,bsc,0xfe56d5892bdffc7bf58f2e84be1b2c32d21c308b
knc,ethereum,0xdefa4e8a7bcba345f687a2f1456f5edd9ce97202
knc,polygon,0x1c954e8fe737f99f68fa1ccda3e51ebdb291948c
kp3r,,kp3r
kp3r,ethereum,0x1ceb5cb57c4d4e2b2433641b95dd330a33185a44
ksm,,ksm
lazio,,lazio
lazio,bsc,0x77d547256a2cd95f32f67ae0313e450ac200648d
ldo,,ldo
ldo,bsc,0x986854779804799c1d68867f5e03e601e781e41b
ldo,ethereum,0x5a98fcbea516cf06857215779fd812ca3bef1b32
ldo,polygon,0xc3c7d422809852031b44ab29eec9f1eff2a58756
lend,,lend
lend,ethereum,0x80fb784b7ed66730e8b1dbd9820afd29931aab03
lever,,lever
lever,ethereum,0x4b5f49487ea7b3609b1ad05459be420548789f1f
like,cosmos,ibc/1D5826F7EDE6E3B13009FEF994DC9CAAF15CC24CA7A9FF436FFB2E56FD72F54F
lina,,lina
lina,bsc,0x762539b45a1dcce3d36d080f74d1aed37844b878
lina,ethereum,0x3e9bc21c9b189c09df3ef1b824798658d5011937
link,chainlink,link
lit,,lit
lit,ethereum,0xb59490ab09a0f526cc7305822ac65f2ab12f9723
loka,,loka
loka,ethereum,0x61e90a50137e1f645c9ef4a0d3a4f01477738406
loom,,loom
loom,bsc,0xe6ce27025f13f5213bbc560dc275e292965a392f
loom,ethereum,0x42476f744292107e34519f9c357927074ea3f75d
lpt,,lpt
lpt,ethereum,0x58b6a8a3302369daec383334672404ee733ab239
lrc,,lrc
lrc,ethereum,0xbbbbca6a901c926f240b89eacb641d8aec7aeafd
lsk,,lsk
ltc,litecoin,ltc
lto,,lto
lto,bsc,0x857b222fc79e1cbbf8ca5f78cb133d1b7cf34bbd
lto,ethereum,0xd01409314acb3b245cea9500ece3f6fd4d70ea30
luna,osmosis,ibc/0EF15DF2F02480ADE0BB6E85D9EBB5DAEA2836D3860E9F97F9AADE4F57A31AA0
luna,terra,terra
lunc,,lunc
lunc,bsc,0x156ab3346823b651294766e23e6cf87254d68962
lunc,ethereum,0xbd31ea8212119f94a611fa969881cba3ea06fa3d
lunc,polygon,0x9cd6746665d9557e1b9a775819625711d0693439
mana,,mana
mana,ethereum,0x0f5d2fb29fb7d3cfee444a200298f468908cc942
mana,polygon,0xa1c57f48f0deb89f569dfbe6e2b7f46d33606fd4
mask,,mask
mask,bsc,0x2ed9a5c8c13b93955103b9a7c167b67ef4d568a3
mask,ethereum,0x69af81e73a73b40adf4f3d4223cd9b1ece623074
mask,polygon,0x2b9e7ccdf0f4e5b24757c1e1a80e311e34cb10c7
matic,,matic
matic,bsc,0xcc42724c6683b7e57334c4e856f4c9965ed682bd
matic,ethereum,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0
matic,polygon,0x0000000000000000000000000000000000001010
mbl,,mbl
mbl,ethereum,0xb879da8b24c9b8685de8526cf492e954f165d74b
mbox,,mbox
mbox,bsc,0x3203c9e46ca618c8c1ce5dc67e7e9d75f5da2377
mc,,mc
mc,ethereum,0x949d48eca67b17269629c7194f4b727d4ef9e5d6
mda,,mda
mda,ethereum,0x51db5ad35c671a87207d88fc11d593ac0c8415bd
mdt,,mdt
mdt,bsc,0x668db7aa38eac6b40c9d13dbe61361dc4c4611d1
mdt,ethereum,0x814e0908b12a99fecf5bc101bb5d0b8b5cdf7d26
mdx,,mdx
mdx,bsc,0x9c65ab58d8d978db963e63f2bfb7121627e3a739
mft,,mft
mft,ethereum,0xdf2c7238198ad8b389666574f2d8bc411a4b7428
mina,,mina
mir,,mir
mir,bsc,0x5b6dcf557e2abe2323c48445e8cc948910d8c2c9
mir,ethereum,0x09a3ecafa817268f77be1283176b946c4ff2e608
mith,,mith
mith,ethereum,0x3893b9422cd5d70a81edeffe3d5a1c6a978310bb
mkr,maker,mkr
mln,,mln
mln,ethereum,0xec67005c4e498ec7f55e092bd1d35cbc47c91892
mob,,mob
mod,,mod
mod,bsc,0xd4fbc57b6233f268e7fba3b66e62719d74deecbc
mod,ethereum,0xea1ea0972fa092dd463f2968f9bb51cc4c981d71
mod,polygon,0x8346ab8d5ea7a9db0209aed2d1806afa0e2c4c21
mona,monacoin,mona
movr,,movr
mth,,mth
mth,ethereum,0xaf4dce16da2877f8c9e00544c93b62ac40631f16
mtl,,mtl
mtl,ethereum,0xf433089366899d83a9f26a773d59ec7ecf30355e
multi,,multi
multi,bsc,0x9fb9a33956351cf4fa040f65a13b835a3c8764e3
multi,ethereum,0x65ef703f5594d2573eb71aaf55bc0cb548492df4
multi,polygon,0x9fb9a33956351cf4fa040f65a13b835a3c8764e3
nas,,nas
nas,ethereum,0x5d65d971895edc438f465c17db6992698a52318d
nav,,nav
nav,bsc,0xbfef6ccfc830d3baca4f6766a0d4aaa242ca9f3d
nbs,,nbs
near,,near
near,bsc,0x1fa4a73a3f0133f0025378af00236f3abdee5d63
nebl,,nebl
neo,,neo
nexo,,nexo
nexo,ethereum,0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206
nexo,polygon,0x41b3966b4ff7b427969ddf5da3627d6aeae9a48e
ngm,cosmos,ibc/E070CE91CC4BD15AEC9B5788C0826755AAD35052A3037E9AC62BE70B4C9A7DBB
nkn,,nkn
nkn,ethereum,0x5cf04716ba20127f1e2297addcf4b5035000c9eb
nmr,,nmr
nmr,ethereum,0x1776e1f26f98b1a5df9cd347953a26dd3cb46671
npxs,,npxs
npxs,ethereum,0xa15c7ebe1f07caf6bff097d8a589fb8ac49ae5b3
nu,,nu
nu,ethereum,0x4fe83213d56308330ec302a8bd641f1d0113a4cc
nuls,,nuls
nuls,bsc,0x8cd6e29d3686d24d3c2018cee54621ea0f89313b
nuls,ethereum,0xa2791bdf2d5055cda4d46ec17f9f429568275047
