uti,platform,original_id,description,primary
realt-s-12334-lansdowne-street-detroit-mi/12334-lansdowne,ethereum,0xee2f2212a64ec3f6bc0f7580e10c53cb38b57508,"12334-lansdowne@RealT - 12334 Lansdowne Street, Detroit, MI 48224",TRUE
realt-s-12334-lansdowne-street-detroit-mi/12334-lansdowne,xdai,0xee2f2212a64ec3f6bc0f7580e10c53cb38b57508,"12334-lansdowne@RealT - 12334 Lansdowne Street, Detroit, MI 48224",
realt-s-12405-santa-rosa-dr-detroit-mi/12405-santa-rosa,xdai,0x9d918ee39a356be8ef99734599c7e70160db4db6,"12405-santa-rosa@RealT - 12405 Santa Rosa Dr, Detroit, MI 48204",TRUE
realt-s-12405-santa-rosa-dr-detroit-mi/12405-santa-rosa,ethereum,0x9d918ee39a356be8ef99734599c7e70160db4db6,"12405-santa-rosa@RealT - 12405 Santa Rosa Dr, Detroit, MI 48204",
realt-s-12409-whitehill-st-detroit-mi/12409-whitehill,xdai,0x969d42ad7008e6651e1fd52742153f8743225d98,"12409-whitehill@RealT - 12409 Whitehill St, Detroit, MI 48224",TRUE
realt-s-12409-whitehill-st-detroit-mi/12409-whitehill,ethereum,0x969d42ad7008e6651e1fd52742153f8743225d98,"12409-whitehill@RealT - 12409 Whitehill St, Detroit, MI 48224",
realt-s-1244-s.avers-st-chicago-il/1244-s-avers,ethereum,0x94fa7f8cb8453ad57cd133363b3012044647078c,"1244-s-avers@RealT - 1244 S. Avers St, Chicago, IL 60623",TRUE
realt-s-1244-s.avers-st-chicago-il/1244-s-avers,xdai,0x94fa7f8cb8453ad57cd133363b3012044647078c,"1244-s-avers@RealT - 1244 S. Avers St, Chicago, IL 60623",
realt-s-12866-lauder-st-detroit-mi/12866-lauder,xdai,0xb5dd2b6e0a0422e069e1d2cc3ed16533488a05e3,"12866-lauder@RealT - 12866 Lauder St, Detroit, MI 48227",TRUE
realt-s-12866-lauder-st-detroit-mi/12866-lauder,ethereum,0xb5dd2b6e0a0422e069e1d2cc3ed16533488a05e3,"12866-lauder@RealT - 12866 Lauder St, Detroit, MI 48227",
tshp/12ships,ethereum,0x525794473f7ab5715c81d06d10f52d11cc052804,12ships@12Ships,TRUE
realt-s-13045-wade-st-detroit-mi/13045-wade,xdai,0x5600e25b4f24c63afa655c3bd96e3c178b654fa1,"13045-wade@RealT - 13045 Wade St, Detroit, MI 48213",TRUE
realt-s-13045-wade-st-detroit-mi/13045-wade,ethereum,0x5600e25b4f24c63afa655c3bd96e3c178b654fa1,"13045-wade@RealT - 13045 Wade St, Detroit, MI 48213",
realt-s-13114-glenfield-ave-detroit-mi/13114-glenfield,ethereum,0x9f923653a19537b5a1b003854a1920fe67a8ffeb,"13114-glenfield@RealT - 13114 Glenfield Ave, Detroit, MI 48213",TRUE
realt-s-13114-glenfield-ave-detroit-mi/13114-glenfield,xdai,0x9f923653a19537b5a1b003854a1920fe67a8ffeb,"13114-glenfield@RealT - 13114 Glenfield Ave, Detroit, MI 48213",
